PBO Network Velocity Field
Station,Ref_Epoch,Ref_JDay,Latitude (deg N),Longitude (deg E),Elevation (m),North Velocity (mm/yr),East Velocity (mm/yr),Vertical Velocity (mm/yr),North Std. Deviation (mm/yr),East Std. Deviation (mm/yr),Vertical Std. Deviation (mm/yr),North/East Correlation,North/Vertical Correlation,East/Vertical Correlation,First_Epoch,Last_Epoch,
ATW2,20091016120000,55120.5000,61.597755,210.867708,97.0637,9.5,-11.7,1.6,0.3,0.4,1.1,0.000,0.020,0.027,20050511000000,20090913000000
AUGL,20091016120000,55120.5000,59.370298,206.646090,103.9990,-12.9,1.9,8.4,0.3,0.6,0.8,0.000,0.028,0.030,20040102000000,20041210000000
AUGL,20091016120000,55120.5000,59.370298,206.646090,103.9958,-12.9,1.9,8.4,0.3,0.6,0.8,0.000,0.028,0.030,20050906000000,20080721000000
AV01,20091016120000,55120.5000,59.358531,206.539199,487.2237,-12.1,-0.7,1.6,0.6,0.7,1.0,0.001,0.013,0.016,20050824000000,20050908000000
AV01,20091016120000,55120.5000,59.358531,206.539199,487.2255,-12.1,-0.7,1.6,0.6,0.7,1.0,0.001,0.013,0.016,20050909000000,20090913000000
AV01,20091016120000,55120.5000,59.358531,206.539199,487.2170,-12.1,-0.7,1.6,0.6,0.7,1.0,0.001,0.013,0.016,20040908000000,20091101000000
AV02,20091016120000,55120.5000,59.332975,206.571609,229.7944,-12.5,0.8,4.0,0.6,0.4,1.0,0.000,0.011,0.039,20050908000000,20090913000000
AV02,20091016120000,55120.5000,59.332975,206.571609,229.7923,-12.5,0.8,4.0,0.6,0.4,1.0,0.000,0.011,0.039,20050823000000,20050908000000
AV02,20091016120000,55120.5000,59.332974,206.571609,229.7872,-12.5,0.8,4.0,0.6,0.4,1.0,0.000,0.011,0.039,20040910000000,20091101000000
AV03,20091016120000,55120.5000,59.381296,206.562222,360.1898,-12.2,-2.5,6.2,0.9,0.7,1.9,0.000,0.035,0.020,20040906000000,20050911000000
AV03,20091016120000,55120.5000,59.381296,206.562221,360.1882,-12.2,-2.5,6.2,0.9,0.7,1.9,0.000,0.035,0.020,20050910000000,20060129000000
AV03,20091016120000,55120.5000,59.381296,206.562221,360.1864,-12.2,-2.5,6.2,0.9,0.7,1.9,0.000,0.035,0.020,20050822000000,20050910000000
AV03,20091016120000,55120.5000,59.381296,206.562221,360.1835,-12.2,-2.5,6.2,0.9,0.7,1.9,0.000,0.035,0.020,20040907000000,20050822000000
AV04,20091016120000,55120.5000,59.362583,206.555327,915.9221,-15.3,-1.8,0.1,2.0,6.9,2.6,-0.000,0.005,-0.000,20080921000000,20090913000000
AV04,20091016120000,55120.5000,59.362583,206.555327,915.9014,-15.3,-1.8,0.1,2.0,6.9,2.6,-0.000,0.005,-0.000,20040908000000,20091101000000
AV04,20091016120000,55120.5000,59.362583,206.555327,915.9281,-15.3,-1.8,0.1,2.0,6.9,2.6,-0.000,0.005,-0.000,20060903000000,20080920000000
AV05,20091016120000,55120.5000,59.362935,206.577353,1036.7576,48.5,100.5,35.4,18.5,24.5,2.3,0.000,0.002,0.001,20040915000000,20060114000000
AV06,20091016120000,55120.5000,54.147180,194.234279,463.0946,-2.7,-3.1,3.0,0.5,0.4,1.1,0.002,0.035,0.048,20050622000000,20091101000000
AV07,20091016120000,55120.5000,54.162937,193.961463,521.0672,-2.6,-6.5,4.5,0.5,1.1,1.2,0.001,0.031,0.016,20050705000000,20091101000000
AV08,20091016120000,55120.5000,54.136300,193.971729,598.4091,-2.3,-6.0,4.1,0.7,0.8,1.1,0.001,0.024,0.025,20050706000000,20091101000000
AV09,20091016120000,55120.5000,53.875635,193.458164,105.6859,-2.2,-5.5,3.5,0.4,0.3,0.8,0.004,0.059,0.075,20040506000000,20091101000000
AV10,20091016120000,55120.5000,54.097610,194.066236,329.5348,-4.4,-4.1,4.3,0.9,0.5,1.2,0.001,0.016,0.040,20050629000000,20091101000000
